document_index,document_text,generated_keyphrases
277,please shut up.,"silence request, telling someone to be quiet, demand for quiet, request for silence, expression of annoyance or frustration, command to stop talking, implying disturbance or interruption"
278,i like you cancel.,"expressing affection, canceling a request or action, communication of feelings, emotional expression, terminating an agreement or intent, informal language, personal sentiment"
279,will you just stop it please.,"request to stop an action, plea for cessation, expressing frustration or annoyance, demand for interruption, request for halt or pause, emotional appeal to cease behavior, urgent plea for stopping"
280,would you cancel it please.,"Cancellation request, Please cancel, Request to cancel, Cancelation inquiry, Cancellation of service, Cancel request"
281,olly can you shut down.,"shutdown command, system shutdown request, user prompt for shutdown, device power off, system control command, user-initiated shutdown, device management"
282,"olly that is enough, just stop it.","request to stop an action, expressing frustration or annoyance, command for cessation, informal communication tone, emotional appeal to halt behavior, implied context of ongoing activity, concise directive"
283,olly will you cancel please.,"Cancellation request, Olly, Please cancel, Request for cancellation, Polite cancellation plea, Cancellation of appointment or service, Communication of cancellation"
284,will you stop.,"request to cease action, stop command, behavior interruption, plea for stopping, request for cessation, demand to halt, pause or discontinue"
285,"that's all, cancel it.","cancellation request, terminating an action, ending a process, request to stop, cancel operation, termination instruction, abort command"
286,olly shut down please.,"Olly shutdown request, system shutdown command, application termination, software closure, user request for shutdown, system management, application control"
287,olly can you just stop.,"request to stop, Olly, cease action, stop command, request for cessation, directive to halt"
288,will you cancel it.,"Cancellation inquiry, Request to cancel, Service or appointment cancellation, Customer concern about cancellation, Intent to cancel or confirm cancellation, Cancellation request in communication, Query about canceling a service or event"
289,olly please can you shut up.,"request for silence, asking someone to be quiet, informal communication, expressing frustration or annoyance, direct command to stop talking, personal interaction, emotional tone of impatience"
290,olly i want you cancel.,"cancel request, Olly, communication instruction, intent to cancel, message to Olly, cancellation command, request for cancellation"
291,would you confirm the question.,"confirmation request, question verification, clarification inquiry, communication validation, response confirmation, information verification, question clarification"
292,could you check my last question.,"user inquiry, question verification, previous question review, communication clarification, assistance request, user support, question follow-up"
293,will you check and confirm command please.,"command verification, confirmation request, instruction validation, task confirmation, response validation, command checking, confirmation process"
294,please will you check it.,"Request for verification, Checking or reviewing a document, Seeking confirmation or validation, Instruction to examine content, Request for assessment or inspection, Verification of information or document, Inquiry about accuracy or correctness"
295,could you check and confirm what i last said please.,"confirmation of previous statement, request for verification, communication clarification, message validation, dialogue confirmation, information accuracy check, user inquiry"
296,will you please check it.,"Request for verification, Document review, Confirmation of accuracy, Checking or validation process, Seeking assistance with document, Verification request"
297,please can you confirm the question.,"confirmation request, clarification of question, request for question verification, seeking confirmation, question clarification"
298,check the details please.,"information verification, detail review, data accuracy, document clarification, content validation, information checking, details confirmation"
299,can you confirm it.,"confirmation request, verification of information, assurance inquiry, clarification of details, validation of statement, seeking confirmation, information verification"
300,please can you confirm it.,"confirmation request, verification of information, clarification inquiry, request for validation, seeking assurance, confirmation of details, validation of data"
301,can you check and confirm the question please.,"question clarification, confirmation request, communication verification, query validation, request for confirmation, information verification, question review"
302,i like you check question please.,"expressing affection, requesting verification, seeking clarification, informal communication, personal expression, question about feelings, casual message"
303,did you get what just said correctly?,"communication clarification, understanding confirmation, listening comprehension, message interpretation, clarifying questions, semantic understanding, intent verification"
304,did you get what said correctly?,"communication clarity, understanding confirmation, message comprehension, clarification of spoken words, listening accuracy, semantic understanding, intent verification"
305,i like you to check and confirm what i said please.,"confirmation request, communication clarification, polite inquiry, message verification, request for acknowledgment, semantic understanding, intent clarification"
306,would you please confirm the instruction.,"instruction confirmation, user request verification, task clarification, communication validation, instruction acknowledgment"
307,check and confirm my last question please.,"confirmation of previous question, clarification request, question verification, request for validation, communication confirmation, question review, assurance of understanding"
308,will you check and confirm the instruction please.,"semantic understanding, intent classification, keyphrase extraction, core meaning analysis, topic identification, semantic content analysis, instruction confirmation"
309,can you check last thing said please.,"request for verification, checking previous statement, clarification request, communication follow-up, reviewing last message, confirmation of prior information, dialogue clarification"
310,"i would not mind, olly.","expressing willingness, casual conversation, acceptance or agreement, informal communication, personal interaction"
311,wouldn't mind for any one.,"expressing willingness or openness, general acceptance or indifference, social interaction or communication, uncertain or non-specific response, casual or informal language, ambiguous statement, flexibility in social situations"
312,"does not matter for me, olly.","user indifference, personal preference, communication tone, casual expression, informal language, subjectivity in response, lack of specific content"
313,"don't really bother, olly.","casual communication, informal expression, dismissive tone, lack of engagement, brevity in speech, nonchalant attitude, disregard or indifference"
314,"wouldn't really know, olly.","uncertainty, lack of knowledge, informal communication, casual expression, ambiguous response, unclear intent, informal speech"
315,"i have no idea about what to do, olly.","uncertainty, lack of direction, confusion, seeking guidance, indecision, emotional distress, need for advice"
316,i do not mind for whatever.,"indifference, lack of preference, neutral stance, uncertainty, flexibility, indifference expression, non-committal attitude"
317,"any one is good, olly.","casual acceptance, informal communication, positive affirmation, friendly tone, general approval, non-specific response, friendly interaction"
318,"it does not matter to me, olly.","indifference, personal preference, emotional detachment, lack of concern, neutral stance, non-commitment, informal communication"
319,i would not mind to select any one.,"indifference to choice, willingness to select any option, neutral stance on selection, flexibility in decision-making, lack of preference, open to options, non-committal attitude"
320,i do not really mind for whatever.,"indifference, lack of preference, neutral attitude, uncertainty, indecision, apathy, non-commitment"
321,this is unimportant for me.,"personal indifference, subjective importance, lack of concern, non-importance, personal preference, emotional detachment, disregard for significance"
322,"i would not mind to select any one, olly.","selection preference, indifference towards choices, decision-making attitude, flexibility in choice, personal preference, non-committal stance, willingness to choose"
323,does not matter for me.,"indifference, lack of preference, neutral stance, unimportance, non-commitment, apathy, indifference attitude"
324,any one is good to me.,"flexibility in choices, acceptance of options, indifference or neutrality, open-minded attitude, non-specific preference, general acceptance, broad willingness"
325,"this is unimportant, olly.","unimportance, informal communication, casual remark, lack of significance, non-essential statement, informal tone, insignificance"
326,wouldn't really mind for whatever.,"indifference, lack of preference, neutral attitude, uncertainty about choice, flexibility in decision-making, non-committal stance, indecisiveness"
327,"have no idea regarding to what to select, olly.","uncertainty in decision-making, selection dilemma, indecision, lack of clarity in choice, confusion about options, unclear decision process, indecisiveness"
328,"does not matter, olly.","semantic understanding, intent classification, keyphrase extraction, core meaning, topic identification, natural language processing, text analysis"
329,would you clarify me on your answer further please.,"request for clarification, seeking further explanation, question about answer clarity, request for elaboration, clarification of response, seeking additional details, communication clarification"
330,"s2, i can not understand that.","Understanding difficulty, Comprehension issues, Communication barriers, Lack of clarity, Misinterpretation risk, Expressing confusion, Need for clarification"
331,your words is not so clear.,"clarity of speech, communication effectiveness, speech clarity, understanding in conversation, linguistic clarity, verbal expression quality, communication barriers"
332,"s1, explain further please.","request for clarification, seeking additional explanation, clarification of previous statement, request for elaboration, need for further details, semantic understanding of inquiry, intent to clarify"
333,"s2, i am unclear about what you have just said.","clarification needed, uncertainty about statement, request for explanation, communication misunderstanding, seeking clarification, confusion about previous message, need for further elaboration"
334,please will you clarify me more on that.,"request for clarification, seeking additional explanation, clarification inquiry, understanding of previous statement, request for elaboration, need for further details, communication clarification"
335,will you rephrase me about your response once again please.,"request for clarification, rephrasing request, seeking confirmation, communication clarification, response reiteration, language clarification, request for restatement"
336,again clarify me on your answers.,"clarification request, understanding of answers, seeking explanation, request for clarification, communication about responses, questioning previous answers, need for further explanation"
337,again elaborate.,"semantic understanding, intent classification, keyphrase extraction, core meaning, topic identification, semantic content analysis, natural language processing"
338,couldn't understand what you just said now.,"communication misunderstanding, lack of comprehension, clarification needed, speech comprehension issues, miscommunication, understanding difficulty, language comprehension"
339,can you again clarify what you've said please.,"request for clarification, seeking repetition of information, communication clarification, request for explanation, confirming understanding, dialogue clarification, seeking further explanation"
340,i didn't get your response.,"communication failure, response not received, message delivery issue, lack of reply, communication breakdown, response omission, message not acknowledged"
341,"s1, could you please again rephrase me about what you said now.","rephrasing request, clarification of previous statement, paraphrasing inquiry, seeking clarification, request for restatement, communication clarification, understanding confirmation"
342,what you said now was not clear.,"clarity of communication, understanding of instructions, communication effectiveness, message ambiguity, clarification request, semantic clarity, communication improvement"
343,can you explain once again.,"request for clarification, seeking explanation, repetition of explanation, clarification request, understanding assistance, rephrased explanation, help with understanding"
344,do not get this.,"disregard or ignore instruction, refusal to follow command, non-compliance with request, instruction rejection, refusal to execute task, disobedience or defiance"
345,"s1, explain me on your answer further please.","request for clarification, seeking further explanation, communication in conversation, understanding and elaboration, dialogue clarification, semantic understanding of questions, intent to clarify or expand"
346,"s2, i do not catch up with you.","communication delay, not catching up, missed connection, lack of synchronization, miscommunication, timing issue, relationship gap"
347,didn't understand what you said now.,"communication misunderstanding, lack of comprehension, clarification needed, misinterpretation of message, difficulty understanding, communication barrier, need for clarification"
348,tell me random joke,"humor, jokes, entertainment, comedy, random humor, lighthearted content, funny anecdotes"
349,find me a joke related to baseball,"baseball joke, sports humor, baseball humor, funny baseball-related joke, sports comedy"
350,i need to be cheered up right now can you tell me a good joke,"seeking emotional uplift, request for humor, need for cheering up, asking for a joke, emotional support, humor as comfort, mood improvement"
351,today's jokes,"humor, jokes, comedy, entertainment, funny anecdotes, humorous content, daily humor"
352,do you have a joke,"request for a joke, humor and entertainment, asking for humor content, informal conversation, light-hearted interaction, seeking amusement, joke request"
353,what's your favorite joke,"humor preferences, favorite joke, sense of humor, personal humor choices, joke preferences, humor topics, comedic taste"
354,look for a joke,"humor, joke search, comedy, entertainment, humorous content, funny material, lighthearted entertainment"
355,do you know what a joke is,"definition of a joke, humor and comedy, understanding jokes, concept of humor, intent of humor, linguistic humor analysis, social function of jokes"
356,i want a nerd joke,"nerd humor, tech jokes, geek comedy, science humor, programmer jokes, nerdy humor, geek culture"
357,what about this joke,"humor, joke, comedy, entertainment, humor appreciation, humor analysis, casual conversation"
358,have any jokes,"humor and jokes, entertainment and comedy, humorous content, joke requests, lighthearted communication, entertainment topics, humor in conversation"
359,joke please,"humor, joke request, entertainment, comedy, lighthearted content, humorous response, funny anecdote"
360,thanks but i think you don't understand this correctly.,"misunderstanding, clarification needed, communication issue, incorrect comprehension, request for explanation, misinterpretation, need for clarification"
361,sorry but i think you've got that not right.,"communication clarification, misunderstanding correction, expressing disagreement, dialogue clarification, intent to correct information, addressing misinterpretation, polite disagreement"
362,i didn't say it.,"communication ambiguity, intent denial, unsaid statements, miscommunication, implicit meaning, speech act, verbal expression"
363,"shit, not right.","expression of dissatisfaction, negative sentiment, frustration or disappointment, informal language, emotional reaction, complaint or critique, lack of clarity or correctness"
364,i think it is not correct response.,"response correctness, communication accuracy, feedback on reply, response validation, clarification of reply, assessment of response quality, dialogue accuracy"
365,thanks but you have understood this wrongly.,"misunderstanding clarification, correcting misinterpretation, communication error, request for clarification, miscommunication resolution, misunderstanding correction, intent clarification"
366,"wait, i think that's not the right answer.","response correction, uncertainty in answer, re-evaluation of response, clarification request, dialogue correction, communication misunderstanding, seeking accurate information"
367,that wasn't right.,"error correction, miscommunication, disagreement, incorrect statement, clarification needed, communication misunderstanding, accuracy of information"
368,"oops, you're not correct.","error correction, misunderstanding acknowledgment, communication clarification, incorrect statement, response to mistake, semantic clarification, dialogue correction"
369,"wait, you did not interpret command right.","semantic understanding, intent classification, keyphrase extraction, core meaning, topic identification, natural language processing, text analysis"
370,you have done a wrong thing.,"acknowledgment of wrongdoing, admission of mistake, recognition of error, confession of fault, expression of regret, moral accountability, personal responsibility"
371,"wait, this is not the correct answer.","Incorrect response, Error correction, Response validation, Answer accuracy, Communication clarification, Response troubleshooting, Feedback on reply"
372,thanks but i think you do not get me.,"communication misunderstanding, expressing frustration, clarification request, lack of comprehension, miscommunication, need for clearer explanation, assumption of misunderstanding"
373,"no, this is not what i am looking for.","expression of dissatisfaction, search for alternative solutions, clarification of needs, communication of unmet expectations, indication of incorrect approach, request for different options, discontent with current proposal"
374,"uhh no, incorrect command.","Incorrect command, Command validation, Error handling, User input validation, Command syntax error, Input correction, Command execution error"
375,i think you don't get answer right.,"communication misunderstanding, incorrect response, clarification request, misinterpretation of question, response accuracy, user-assistant interaction, linguistic ambiguity"
376,i think you did a task all wrong.,"task completion critique, performance evaluation, error identification, feedback on work quality, improvement suggestions, communication of dissatisfaction, assessment of task execution"
377,"uh no, you did not understand what i am searching for.","search intent misunderstanding, clarification request, communication clarification, user's search criteria, miscommunication in information retrieval, search intent clarification, user's information needs"
378,i am sorry but i think it was not the correct answer.,"apology, incorrect answer, response correction, communication error, misunderstanding, feedback on answer, clarification"
379,"you are my hero, thank you very much, olly.","expression of gratitude, appreciation for Olly, complimenting someone as a hero, thank you message, acknowledgment of help or support, positive sentiment towards Olly, emotional appreciation"
380,"you have done it correctly thanks, olly.","acknowledgment of correct action, gratitude expression, positive feedback, appreciation for assistance, confirmation of success, friendly communication"
381,ah that's nice one.,"casual positive expression, informal compliment, acknowledgment of appreciation, friendly remark, positive social interaction, casual conversation tone, approving comment"
382,"you rock, thank you very much, olly.","expression of gratitude, positive feedback, appreciation message, informal compliment, acknowledgment of support, friendly communication, casual praise"
383,"fantastic job, you did well.","positive feedback, praise and encouragement, recognition of achievement, affirmation of performance, motivational expression, compliment"
384,"that's good, thanks.","expressing gratitude, positive acknowledgment, polite response, thank you, appreciation"
385,"appreciate your answers, olly.","expression of gratitude, appreciation message, positive acknowledgment, thankfulness, polite communication, gratitude expression, appreciative response"
386,"you are my star, thank you so much, olly.","expression of gratitude, compliment or appreciation, personal sentiment, affectionate message, positive acknowledgment, emotional expression, personal communication"
387,"that was cool, i appreciate it.","expression of appreciation, positive feedback, informal communication, gratitude acknowledgment, casual compliment, appreciation sentiment, positive interaction"
388,"fantastic job, you've done well, olly.","positive feedback, praise and encouragement, recognition of achievement, affirmation of performance, complimenting Olly, motivational communication, congratulations"
389,"great work, you did well, olly.","praise and encouragement, positive feedback, recognition of achievement, commendation, motivational expression, affirmation of performance, supportive communication"
390,"that is cool, thanks, olly.","casual appreciation, informal gratitude, positive feedback, friendly communication, expressing thanks"
391,"thank you for the response, olly.","gratitude expression, response acknowledgment, polite communication, appreciation message, interpersonal interaction, social etiquette, thank you note"
392,you've done it right.,"affirmation of correct action, positive reinforcement, validation of achievement, encouragement, confirmation of correctness, praise for proper execution, recognition of success"
393,"well done, appreciated.","positive feedback, appreciation, commendation, recognition of good work, affirmation"
394,"excellent work, you have done well.","positive feedback, commendation, performance acknowledgment, encouragement, recognition of achievement, praise for work, motivation and support"
395,"awesome job, you did well.","positive feedback, praise and encouragement, recognition of achievement, affirmation of performance, congratulations, motivational communication, appreciation"
396,"it's great one, thank you very much.","expression of gratitude, positive feedback, appreciation, thankfulness, positive sentiment, conveying satisfaction, gratitude acknowledgment"
397,"it's helpful, appreciated.","expression of gratitude, appreciation, positive feedback, acknowledgment of helpfulness, politeness in communication"
398,today i had a lunch with my longtime sweetheart play me a nice song to the mood,"lunch with sweetheart, romantic outing, playing a song to set mood, date activity, emotional connection, music for ambiance, longtime partner"
399,what's on tv,"television programming, TV schedule, entertainment options, current broadcasts, TV guide, media content, viewing choices"
400,is the data prefers any problems in objects,"data quality issues, object-related problems, data integrity concerns, object validation errors, data inconsistency, data validation processes, object data problems"
401,your salary,"salary information, compensation details, employee earnings, pay structure, income level, remuneration package, salary discussion"
402,overall day,"daily summary, overall day experience, day's activities, daily reflection, day's events and feelings, daily routine overview, summary of today's events"
403,anything i need to know,"information needs, clarification requirements, essential knowledge, user inquiries, topic understanding, information gathering, communication clarity"
404,is mile marker sixty five where the hanging tree is located,"mile marker sixty five, hanging tree location, geographic marker, landmark identification, historical site, navigation reference, place of interest"
405,tell me what happens when we die,"life after death, concept of dying, what occurs after death, death and the afterlife, human mortality, beliefs about death, end of life"
406,what is your country,"country identification, geographical location inquiry, nationality question, location-based query, personal information request, geopolitical context, identity and nationality"
407,do i need to spare washing my car today,"car washing, car maintenance, personal grooming, daily chores, vehicle cleaning, self-care routine, outdoor cleaning"
408,this brings some problems to us,"problems, challenges, issues, difficulties, concerns, obstacles, complications"
409,can you explain me the problems when the syria becomes more stronger than america,"Syria's increasing strength, U.S.-Syria relations, Regional security implications, Geopolitical power dynamics, Conflict escalation, International response to Syrian strength, Impact on Middle East stability"
410,you are chatbot,"chatbot, artificial intelligence, conversational agent, automated dialogue system, virtual assistant, natural language processing, human-computer interaction"
411,how high is the quality of this stone,"stone quality assessment, gemstone evaluation, material quality measurement, stone grading criteria, quality of mineral specimens, assessment of gemstone purity, evaluation of stone craftsmanship"
412,can you please tell me who are you,"identity inquiry, personal identification, asking for someone's name, request for self-introduction, clarification of speaker's identity, interpersonal communication, question about personal details"
413,where did he was yesterday,"question about someone's location, past tense inquiry, location identification, temporal reference to yesterday, informal question structure, seeking information about previous whereabouts, English language usage"
414,have you come across any new recipes,"new recipes, cooking inquiries, culinary exploration, recipe discovery, food and cooking topics, culinary interests, recipe sharing"
415,how did your day go,"daily experience, personal well-being, day's activities, emotional state, social interactions, routine reflection, personal update"
416,give me the product review from gamespot about the nintendo switch,"product review, GameSpot, Nintendo Switch, video game evaluation, gaming console assessment, game performance analysis, user feedback on Nintendo Switch"
417,let's start over please.,"restarting conversation, beginning anew, resetting dialogue, starting over, fresh start"
418,please say one more time again.,"request for repetition, asking to repeat a statement, clarification request, communication misunderstanding, seeking confirmation, request for clarification, repetition in conversation"
419,i would like to hear that information spoken again.,"request for information repetition, preference for spoken communication, desire to hear information again, audio or verbal clarification, repetition of spoken content, preference for auditory information, request for information recall"
420,i would like to hear the last one spoken again.,"repetition request, audio playback, spoken words recall, listening to last statement, auditory memory, replay last spoken phrase, speech repetition"
421,i'd like to hear the last spoke again.,"audio playback, replay last spoken message, listening to previous speech, audio recording retrieval, voice message replay, speech recall, audio playback request"
422,i need to hear what you've said again.,"request for repetition, hearing previous statement, clarification of spoken words, auditory confirmation, communication clarification, request to repeat information, listening and understanding"
423,retry please.,"retry mechanism, error handling, operation retry, failure recovery, retry logic, resilience in systems, error correction"
424,will you try what i have just said one more time please.,"request for repetition, asking for clarification, seeking confirmation, communication request, repetition of instructions or statements, clarification inquiry, request for demonstration"
425,would you tell me one more again please.,"request for repetition, polite request, communication clarification, seeking confirmation, language politeness, request for repetition of information, dialogue clarification"
426,would you tell me once again.,"request for repetition, seeking clarification, communication request, repetition of information, clarification inquiry, request for confirmation, dialogue continuation"
427,could you tell me the last one you just said again please.,"request for repetition, clarification of previous statement, communication clarification, seeking confirmation, dialogue repetition, request for last spoken information, conversation clarification"
428,i want to hear that again.,"request to hear again, repetition of audio or message, desire for repetition, expressing enjoyment or interest, request for repetition of a statement"
429,i want to hear it again.,"repetition request, desire to hear again, music or audio playback, listening preference, replay of a song or sound, auditory memory, preference for familiar sounds"
430,please could you tell me once more.,"request for clarification, seeking repetition or confirmation, polite inquiry, communication clarification, request for additional information, politeness in communication, repetition request"
431,can you try again please.,"politeness request, repetition request, communication prompt, request for clarification, social interaction, polite language, repetition in conversation"
432,say one more time again please.,"request for repetition, asking to repeat a statement, seeking clarification, communication request, plea for clarification, repetition inquiry, request for confirmation"
433,will you speak once again please.,"request for repetition, plea for speaking again, seeking clarification or confirmation, polite request, communication or dialogue"
434,please say it once again.,"request for repetition, asking to repeat a statement, communication clarification, request for clarification, seeking confirmation, repetition request, clarification of previous message"
435,please tell me it once more.,"request for repetition, seeking clarification, asking to repeat information, request for confirmation, desire for clarification"
436,please activate my vacuum to clean the living room,"vacuum activation, cleaning request, living room cleaning, robotic vacuum control, home automation, device activation, cleaning task"
437,can you wake the roomba for the kitchen,"Roomba activation, robot vacuum control, kitchen cleaning automation, smart home device command, robotic vacuum wake-up"
438,please have vacuum go for one hour,"vacuum cleaning duration, cleaning instructions, household chores, appliance operation time, cleaning schedule, vacuum usage instructions, duration of vacuuming"
439,activate the vacuum,"vacuum activation, start vacuum cleaner, power on vacuum, activate cleaning device, turn on vacuum, vacuum operation, initiating vacuum function"
440,clean the sofa with the vacuum cleaner,"sofa cleaning, vacuum cleaner use, upholstery maintenance, furniture cleaning methods, home cleaning tips, vacuuming upholstery, cleaning furniture with vacuum"
441,have the vacuum cleaner clean the room,"vacuum cleaner operation, room cleaning instruction, domestic cleaning task, cleaning appliance usage, household cleaning process, automated cleaning activity, indoor cleaning task"
442,hurriedly activates my robot vacuum cleaner,"robot vacuum cleaner activation, urgent cleaning command, robotic cleaning initiation, quick start of vacuum robot, hasty activation of cleaning device, automated floor cleaning, robotic appliance operation"
443,begin vacuum,"vacuum cleaning, robotic vacuum, home cleaning device, automatic vacuum, vacuum technology, cleaning automation, robot vacuum"
444,remove dust with vacuum cleaner,"dust removal, vacuum cleaning, cleaning task, household cleaning, dust elimination, vacuum cleaner use, interior cleaning"
445,start vacuum bot,"vacuum robot activation, robotic vacuum start command, automated cleaning device, home cleaning automation, robotic vacuum operation, smart vacuum initiation, robotic cleaning system"
446,start my robot vacuum cleaner by ten to eleven am daily,"robot vacuum cleaner operation, daily cleaning schedule, start time at 10:50 am, automated household chores, robotic appliance scheduling, home automation routine, vacuum cleaning automation"
447,activate vacuum cleaner,"vacuum cleaner activation, household cleaning, electronic appliance control, home maintenance task, device operation command, cleaning device activation, appliance power on"
448,turn on the roomba,"Roomba activation, robot vacuum control, smart home cleaning, automated floor cleaning, robotic vacuum operation, home automation commands, cleaning device activation"
449,begin vacuum cleaning,"vacuum cleaning, household cleaning, floor maintenance, vacuum cleaner operation, domestic cleaning tasks, cleaning equipment usage, interior surface cleaning"
450,please turn on my vacuum cleaner,"vacuum cleaner activation, device control request, home appliance operation, robotic vacuum command, electronic device activation"
451,how do you activate the robot vacuum cleaner,"robot vacuum cleaner activation, robot vacuum operation, starting a robot vacuum, robot vacuum control, activating robotic vacuum, robotic cleaning device usage, robot vacuum setup"
452,i would like some coffee now,"request for coffee, desire to drink coffee, current craving for coffee, seeking coffee beverage, expressing coffee preference, wanting coffee now, coffee consumption intent"
453,please make coffee at seven am,"making coffee, time-specific instruction, morning routine, coffee preparation, daily schedule, breakfast preparation, kitchen task"
454,make a cup of coffee,"making coffee, coffee preparation, brewing a cup of coffee, coffee making process, coffee brewing methods, hot beverage preparation, caffeine consumption"
455,start coffee at six am,"morning coffee routine, starting the day with coffee, early morning beverage, coffee at 6 am, morning caffeine intake, daily coffee schedule, breakfast and coffee timing"
456,i want some coffee now,"request for coffee, desire for caffeine, immediate coffee need, coffee consumption intent, personal beverage request, urgent coffee craving, coffee seeking"
457,get me some latte please,"coffee order, latte request, beverage request, caffeine beverage, coffee shop interaction, hot milk coffee, order for coffee"
458,prepare my morning coffee,"morning coffee preparation, coffee brewing process, personal beverage routine, caffeine consumption, morning ritual, coffee making steps, breakfast beverage preparation"
459,prepare some cups of coffee for us,"coffee preparation, serving coffee, making coffee, beverage preparation, hospitality gesture, coffee cups, refreshment provision"
460,can you see to it that the coffee maker is ready with my filter coffee in approximately ten minutes from now,"coffee maker readiness, filter coffee preparation, timed coffee brewing, kitchen appliance operation, coffee brewing schedule, coffee preparation instructions, timing for coffee readiness"
461,i'd like a coffee now,"request for coffee, desire to drink coffee, current craving for coffee, immediate coffee order, coffee consumption intent, personal beverage preference, caffeine intake desire"
462,can you please turn on the coffee pot to make me coffee,"coffee preparation, turn on coffee pot, making coffee request, kitchen appliance activation, coffee brewing process, user request for coffee, automatic coffee maker activation"
463,prepare coffee now,"coffee preparation, making coffee, brew coffee, coffee brewing process, instant coffee, coffee making instructions, prepare beverage"
464,can you get me a cup of coffee,"request for coffee, ordering a beverage, asking for a drink, coffee inquiry, beverage request, caffeine order, refreshment request"
465,make a cup of coffee for me,"making coffee, preparing a beverage, coffee preparation request, personalized drink request, coffee brewing process, hot beverage creation, serving coffee for someone"
466,get a cup of coffee ready now,"preparing coffee, making coffee, coffee readiness, brew coffee now, coffee preparation, instant coffee request, caffeine consumption"
467,coffee please,"request for coffee, beverage order, hot drink request, caffeine consumption, coffee preference"
468,make me a capuccino,"coffee order, cappuccino request, beverage preparation, coffee customization, hot espresso drink, caffeine beverage, barista service"
469,make me coffee at eight am,"making coffee, time-specific request, morning beverage preparation, personal assistant task, coffee brewing at 8 am, breakfast routine, urgent coffee request"
470,put on a pot of coffee,"making coffee, brewing coffee, preparing coffee, coffee preparation, coffee brewing process, starting coffee maker, making a cup of coffee"
471,please make the lights natural,"natural lighting, lighting preferences, ambient light quality, lighting aesthetics, user lighting customization, natural light simulation, lighting environment"
472,lights to fifty percent,"adjusting lighting brightness, dimming lights to 50%, lighting control, brightness setting, ambient light adjustment, lighting intensity modification, light level reduction"
473,can you change the light colors in the house,"light color customization, home lighting control, changing house lighting, adjusting interior lighting, smart lighting options, lighting color modification, residential lighting settings"
474,turn the lights on party mode,"lighting control, party mode activation, smart home automation, ambient lighting settings, mood lighting, user command for lighting, home lighting customization"
475,set the mood please,"setting the mood, atmosphere creation, emotional tone adjustment, ambiance setting, mood enhancement, environmental mood cues, emotional atmosphere"
476,change the light colors,"light color modification, changing lighting colors, adjusting light hues, lighting customization, color scheme adjustment, ambient lighting control, lighting design customization"
477,could you change the lights colour to green please,"change light color, green lighting request, lighting control, color modification, user request for lighting, adjusting light hue, environment lighting adjustment"
478,make curser adjustable position,"cursor position adjustment, customizable cursor control, cursor movement customization, adjustable cursor placement, cursor positioning settings, user-controlled cursor movement, cursor position customization"
479,change light color,"light color change, adjusting lighting hue, lighting customization, color modification in lighting, altering light colors, lighting control options, ambient light adjustment"
480,change the light color to blue,"light color change, blue lighting, lighting customization, color modification, ambient lighting adjustment, lighting control"
481,alter the color of the lights at home,"lighting customization, home lighting control, alter light colors, smart lighting adjustment, ambient lighting settings, color-changing lights, home automation lighting"
482,change lights to blue,"change lights to blue, lighting color adjustment, color modification, blue lighting, ambient lighting change, lighting control command, color setting in lighting"
483,can you change the living room lights to a softer color,"living room lighting, light color adjustment, softer lighting, home lighting control, ambient lighting customization, interior lighting preferences, lighting modification"
484,can you set the living room lights to pink,"smart home lighting control, living room lighting customization, color-changing lights, home automation commands, pink lighting setting, lighting preferences adjustment, voice or app-controlled lighting"
485,change the color of the lights to blue,"change light color, set lights to blue, lighting customization, color adjustment, blue lighting, modify light settings, ambient lighting control"
486,let's have a warm glow in the front room,"creating a warm ambiance, indoor lighting and atmosphere, cozy front room setting, ambiance enhancement through lighting, interior comfort and mood, home decor and lighting, setting a welcoming environment"
487,switch lights to red tone,"lighting adjustment, red tone lighting, ambient light modification, visual ambiance change, lighting color control, mood lighting settings, color temperature adjustment"
488,change my light color to blue and please turn off the kitchen light,"light color change, set light to blue, turn off kitchen light, smart home lighting control, lighting adjustment commands, home automation request, color and power control"
489,all lights colour to blue please,"light color change, blue lighting request, lighting customization, color adjustment, ambient lighting preferences, lighting control commands, visual ambiance modification"
490,dim the lights at the living room,"lighting adjustment, living room ambiance, dimming lights, interior lighting control, mood setting, home automation, lighting scene customization"
491,lower the light intensity,"light intensity adjustment, dimming lights, reduce brightness, lighting control, ambient light modification, illumination level decrease, lighting environment management"
492,hi can you please turn lower the lights,"lighting adjustment, dim the lights, request for lower lighting, ambient light control, lighting request, adjusting room lighting, lighting modification"
493,dim the lights please,"lighting adjustment, dim the lights, request for ambiance change, control of lighting levels, mood setting, lighting command, ambient lighting control"
494,please turn down the lights,"request for dimming lights, adjust lighting levels, reduce illumination, lighting control command, ambiance setting, light adjustment request, dim the lights"
495,lower the lights,"lighting adjustment, dim the lights, ambiance setting, mood creation, lighting control, environmental ambiance, light dimming"
496,lower the lights in bedroom two,"lighting adjustment, bedroom lighting, dim lights, interior lighting control, ambiance setting, lighting instruction, room lighting modification"
497,i want the room to be less bright,"adjust room lighting, dim the lights, reduce brightness, control lighting levels, ambiance modification, lighting preferences, interior lighting adjustment"
498,hey olly make the lights a little dimmer,"lighting adjustment, dimmer switch, ambient lighting, user request for lighting change, lighting control, dimmer setting, personalized lighting"
499,light is too much,"excessive lighting, overillumination, brightness overload, too much light, lighting intensity, illumination level, excessive brightness"
