pair_indices,doc1_full_text,doc2_full_text,full_prompt,raw_llm_response,constraint_type,constraint
"(118, 852)",erase calendar events,what is now stock price of tata,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: erase calendar events
Snippet 2: what is now stock price of tata
",NO,Cannot-Link,"('CANNOT', (118, 852))"
"(792, 845)",what is a trebuchet,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what is a trebuchet
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (792, 845))"
"(480, 485)",change the light color to blue,change the color of the lights to blue,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: change the light color to blue
Snippet 2: change the color of the lights to blue
",YES,Must-Link,"('MUST', (480, 485))"
"(595, 853)",please remove my list of favorite albums,what is the current price of jindel stock,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please remove my list of favorite albums
Snippet 2: what is the current price of jindel stock
",NO,Cannot-Link,"('CANNOT', (595, 853))"
"(85, 803)",when is the school dance junction marked,define flabbergasted,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: when is the school dance junction marked
Snippet 2: define flabbergasted
",NO,Cannot-Link,"('CANNOT', (85, 803))"
"(822, 853)",what year did george clooney start acting,what is the current price of jindel stock,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what year did george clooney start acting
Snippet 2: what is the current price of jindel stock
",NO,Cannot-Link,"('CANNOT', (822, 853))"
"(451, 845)",how do you activate the robot vacuum cleaner,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: how do you activate the robot vacuum cleaner
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (451, 845))"
"(231, 777)",is hayden still living on turnpike lane,how much money in us would i need to have a thousand pesos,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: is hayden still living on turnpike lane
Snippet 2: how much money in us would i need to have a thousand pesos
",NO,Cannot-Link,"('CANNOT', (231, 777))"
"(803, 845)",define flabbergasted,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: define flabbergasted
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (803, 845))"
"(805, 1049)",define rumplestiltskin,how much traffic does atlanta georgia usually have,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: define rumplestiltskin
Snippet 2: how much traffic does atlanta georgia usually have
",NO,Cannot-Link,"('CANNOT', (805, 1049))"
"(38, 40)",can you set an alarm for seven am,set the alarm to seven am for work,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: can you set an alarm for seven am
Snippet 2: set the alarm to seven am for work
",YES,Must-Link,"('MUST', (38, 40))"
"(143, 845)",crabmeat recipe,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: crabmeat recipe
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (143, 845))"
"(404, 803)",is mile marker sixty five where the hanging tree is located,define flabbergasted,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: is mile marker sixty five where the hanging tree is located
Snippet 2: define flabbergasted
",NO,Cannot-Link,"('CANNOT', (404, 803))"
"(504, 506)",turn off lights in bathroom,turn off the lights in the bathroom,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: turn off lights in bathroom
Snippet 2: turn off the lights in the bathroom
",YES,Must-Link,"('MUST', (504, 506))"
"(294, 296)",please will you check it.,will you please check it.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please will you check it.
Snippet 2: will you please check it.
",YES,Must-Link,"('MUST', (294, 296))"
"(623, 853)",what is in my favorites music folder,what is the current price of jindel stock,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what is in my favorites music folder
Snippet 2: what is the current price of jindel stock
",NO,Cannot-Link,"('CANNOT', (623, 853))"
"(425, 426)",would you tell me one more again please.,would you tell me once again.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: would you tell me one more again please.
Snippet 2: would you tell me once again.
",YES,Must-Link,"('MUST', (425, 426))"
"(625, 853)",all i ever want to hear is rap,what is the current price of jindel stock,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: all i ever want to hear is rap
Snippet 2: what is the current price of jindel stock
",NO,Cannot-Link,"('CANNOT', (625, 853))"
"(418, 432)",please say one more time again.,say one more time again please.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please say one more time again.
Snippet 2: say one more time again please.
",NO,Cannot-Link,"('CANNOT', (418, 432))"
"(504, 853)",turn off lights in bathroom,what is the current price of jindel stock,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: turn off lights in bathroom
Snippet 2: what is the current price of jindel stock
",NO,Cannot-Link,"('CANNOT', (504, 853))"
"(45, 47)",set my alarm for six am,set alarm at six thirty am,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: set my alarm for six am
Snippet 2: set alarm at six thirty am
",NO,Cannot-Link,"('CANNOT', (45, 47))"
"(456, 461)",i want some coffee now,i'd like a coffee now,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i want some coffee now
Snippet 2: i'd like a coffee now
",YES,Must-Link,"('MUST', (456, 461))"
"(559, 563)",start a new list,start new list,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: start a new list
Snippet 2: start new list
",YES,Must-Link,"('MUST', (559, 563))"
"(320, 326)",i do not really mind for whatever.,wouldn't really mind for whatever.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i do not really mind for whatever.
Snippet 2: wouldn't really mind for whatever.
",YES,Must-Link,"('MUST', (320, 326))"
"(280, 288)",would you cancel it please.,will you cancel it.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: would you cancel it please.
Snippet 2: will you cancel it.
",YES,Must-Link,"('MUST', (280, 288))"
"(822, 880)",what year did george clooney start acting,is there a sports bar near kansas city plaza area,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what year did george clooney start acting
Snippet 2: is there a sports bar near kansas city plaza area
",NO,Cannot-Link,"('CANNOT', (822, 880))"
"(312, 318)","does not matter for me, olly.","it does not matter to me, olly.","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: does not matter for me, olly.
Snippet 2: it does not matter to me, olly.
",YES,Must-Link,"('MUST', (312, 318))"
"(1006, 1007)",call a taxi,book a taxi,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: call a taxi
Snippet 2: book a taxi
",YES,Must-Link,"('MUST', (1006, 1007))"
"(231, 788)",is hayden still living on turnpike lane,please define forensic,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: is hayden still living on turnpike lane
Snippet 2: please define forensic
",NO,Cannot-Link,"('CANNOT', (231, 788))"
"(508, 517)",turn off the room light,turn the living room's light off,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: turn off the room light
Snippet 2: turn the living room's light off
",YES,Must-Link,"('MUST', (508, 517))"
"(901, 903)",please recommend a movie,recommend a movie for me,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please recommend a movie
Snippet 2: recommend a movie for me
",YES,Must-Link,"('MUST', (901, 903))"
"(803, 895)",define flabbergasted,is there any chinese places in benton ar,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: define flabbergasted
Snippet 2: is there any chinese places in benton ar
",NO,Cannot-Link,"('CANNOT', (803, 895))"
"(452, 461)",i would like some coffee now,i'd like a coffee now,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i would like some coffee now
Snippet 2: i'd like a coffee now
",YES,Must-Link,"('MUST', (452, 461))"
"(11, 15)",do i have any alarms set,can you tell me what alarms i have set,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: do i have any alarms set
Snippet 2: can you tell me what alarms i have set
",YES,Must-Link,"('MUST', (11, 15))"
"(385, 391)","appreciate your answers, olly.","thank you for the response, olly.","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: appreciate your answers, olly.
Snippet 2: thank you for the response, olly.
",YES,Must-Link,"('MUST', (385, 391))"
"(231, 845)",is hayden still living on turnpike lane,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: is hayden still living on turnpike lane
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (231, 845))"
"(366, 371)","wait, i think that's not the right answer.","wait, this is not the correct answer.","Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: wait, i think that's not the right answer.
Snippet 2: wait, this is not the correct answer.
",YES,Must-Link,"('MUST', (366, 371))"
"(790, 817)",what's the definition of diverse,how old is emma watson newest boyfriend,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what's the definition of diverse
Snippet 2: how old is emma watson newest boyfriend
",NO,Cannot-Link,"('CANNOT', (790, 817))"
"(255, 263)",yeah wonderful response.,yeah wonderful response to command.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: yeah wonderful response.
Snippet 2: yeah wonderful response to command.
",YES,Must-Link,"('MUST', (255, 263))"
"(452, 456)",i would like some coffee now,i want some coffee now,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i would like some coffee now
Snippet 2: i want some coffee now
",YES,Must-Link,"('MUST', (452, 456))"
"(599, 845)",remove the list of apps which started with letter a,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: remove the list of apps which started with letter a
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (599, 845))"
"(430, 435)",please could you tell me once more.,please tell me it once more.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please could you tell me once more.
Snippet 2: please tell me it once more.
",YES,Must-Link,"('MUST', (430, 435))"
"(822, 895)",what year did george clooney start acting,is there any chinese places in benton ar,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what year did george clooney start acting
Snippet 2: is there any chinese places in benton ar
",NO,Cannot-Link,"('CANNOT', (822, 895))"
"(257, 263)",yeah perfect response to command.,yeah wonderful response to command.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: yeah perfect response to command.
Snippet 2: yeah wonderful response to command.
",YES,Must-Link,"('MUST', (257, 263))"
"(812, 845)",where is italy,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: where is italy
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (812, 845))"
"(788, 845)",please define forensic,stock price for gss energy,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please define forensic
Snippet 2: stock price for gss energy
",NO,Cannot-Link,"('CANNOT', (788, 845))"
"(480, 482)",change the light color to blue,change lights to blue,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: change the light color to blue
Snippet 2: change lights to blue
",YES,Must-Link,"('MUST', (480, 482))"
"(297, 300)",please can you confirm the question.,please can you confirm it.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please can you confirm the question.
Snippet 2: please can you confirm it.
",YES,Must-Link,"('MUST', (297, 300))"
"(790, 890)",what's the definition of diverse,where is the closer starbucks,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: what's the definition of diverse
Snippet 2: where is the closer starbucks
",NO,Cannot-Link,"('CANNOT', (790, 890))"
"(316, 320)",i do not mind for whatever.,i do not really mind for whatever.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: i do not mind for whatever.
Snippet 2: i do not really mind for whatever.
",YES,Must-Link,"('MUST', (316, 320))"
"(275, 287)",olly can you stop it.,olly can you just stop.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: olly can you stop it.
Snippet 2: olly can you just stop.
",YES,Must-Link,"('MUST', (275, 287))"
"(418, 434)",please say one more time again.,please say it once again.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please say one more time again.
Snippet 2: please say it once again.
",YES,Must-Link,"('MUST', (418, 434))"
"(418, 425)",please say one more time again.,would you tell me one more again please.,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please say one more time again.
Snippet 2: would you tell me one more again please.
",NO,Cannot-Link,"('CANNOT', (418, 425))"
"(592, 606)",can you remove this item from the list,please remove this item from the list,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: can you remove this item from the list
Snippet 2: please remove this item from the list
",YES,Must-Link,"('MUST', (592, 606))"
"(521, 522)",please turn on all lights,please turn on the lights,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: please turn on all lights
Snippet 2: please turn on the lights
",YES,Must-Link,"('MUST', (521, 522))"
"(803, 852)",define flabbergasted,what is now stock price of tata,"Human: 
Evaluate if the following two text snippets are about the same core topic or express fairly similar semantic intent. Answer ONLY with YES or NO.

Snippet 1: define flabbergasted
Snippet 2: what is now stock price of tata
",NO,Cannot-Link,"('CANNOT', (803, 852))"
